concept	property	prop_count	pos_tag	is_only_adj
shape	graphic	44	[('graphic', 'JJ')]	True
sunscreen	personal	635	[('personal', 'JJ')]	True
red wine	alcoholic	13	[('alcoholic', 'JJ')]	True
itraconazole	oral	110	[('oral', 'JJ')]	True
television	modern	309	[('modern', 'JJ')]	True
swiss	natural	709	[('natural', 'JJ')]	True
oxytetracycline	oral	110	[('oral', 'JJ')]	True
hydrochloric	common	802	[('common', 'JJ')]	True
g20	international	277	[('international', 'JJ')]	True
henri bergson	western	106	[('western', 'JJ')]	True
drought	hydrological	10	[('hydrological', 'JJ')]	True
banana	traditional	682	[('traditional', 'JJ')]	True
simulator	interactive	57	[('interactive', 'JJ')]	True
silver	white	65	[('white', 'JJ')]	True
nitrous oxide	anesthetic	11	[('anesthetic', 'JJ')]	True
un	global	202	[('global', 'JJ')]	True
aluminum	good	61	[('good', 'JJ')]	True
worksheet	ancillary	99	[('ancillary', 'JJ')]	True
chemical	traditional	682	[('traditional', 'JJ')]	True
fibroblast	somatic	28	[('somatic', 'JJ')]	True
strength	desirable	29	[('desirable', 'JJ')]	True
new york times	contemporary	73	[('contemporary', 'JJ')]	True
tobacco	complex	256	[('complex', 'JJ')]	True
weight	essential	297	[('essential', 'JJ')]	True
k means	unsupervised	8	[('unsupervised', 'JJ')]	True
empathy	interpersonal	15	[('interpersonal', 'JJ')]	True
christchurch	big	266	[('big', 'JJ')]	True
pug	small	653	[('small', 'JJ')]	True
x ray diffraction	instrumental	11	[('instrumental', 'JJ')]	True
mall	retail	43	[('retail', 'JJ')]	True
fingerprint	personal	635	[('personal', 'JJ')]	True
titanium	rigid	25	[('rigid', 'JJ')]	True
diwali	indian	58	[('indian', 'JJ')]	True
tennessee	southeastern	7	[('southeastern', 'JJ')]	True
badminton	interactive	57	[('interactive', 'JJ')]	True
yahoo	traditional	682	[('traditional', 'JJ')]	True
furniture	tangible	53	[('tangible', 'JJ')]	True
pillow	large	852	[('large', 'JJ')]	True
shock	physical	686	[('physical', 'JJ')]	True
goldman sachs	large	852	[('large', 'JJ')]	True
logo	graphic	44	[('graphic', 'JJ')]	True
oxidative stress	abiotic	71	[('abiotic', 'JJ')]	True
tea	clear	23	[('clear', 'JJ')]	True
apple	innovative	31	[('innovative', 'JJ')]	True
leather	heavy	207	[('heavy', 'JJ')]	True
credit card	personal financial	11	[('personal', 'JJ'), ('financial', 'JJ')]	True
pond	natural	709	[('natural', 'JJ')]	True
breast reduction	cosmetic	64	[('cosmetic', 'JJ')]	True
analgesic	biological	197	[('biological', 'JJ')]	True
nacho	mexican	5	[('mexican', 'JJ')]	True
supply chain	secondary	180	[('secondary', 'JJ')]	True
respiration	fundamental	87	[('fundamental', 'JJ')]	True
strawberry	common	802	[('common', 'JJ')]	True
soccer	physical	686	[('physical', 'JJ')]	True
shower	modern	309	[('modern', 'JJ')]	True
cardiac tamponade	severe	151	[('severe', 'JJ')]	True
effort	non academic	8	[('non', 'JJ'), ('academic', 'JJ')]	True
grass	organic	355	[('organic', 'JJ')]	True
yeast saccharomyces cerevisiae	unicellular	8	[('unicellular', 'JJ')]	True
insomnia	common	802	[('common', 'JJ')]	True
lumber	common	802	[('common', 'JJ')]	True
sierra club	environmental	592	[('environmental', 'JJ')]	True
salmon	fresh	148	[('fresh', 'JJ')]	True
india	populous	10	[('populous', 'JJ')]	True
plastic	nonbiodegradable	5	[('nonbiodegradable', 'JJ')]	True
yahtzee	classic	86	[('classic', 'JJ')]	True
nasa	large	852	[('large', 'JJ')]	True
microphone	electronic	281	[('electronic', 'JJ')]	True
high blood pressure	physical	686	[('physical', 'JJ')]	True
electrical resistivity	geophysical	11	[('geophysical', 'JJ')]	True
policy	secondary	180	[('secondary', 'JJ')]	True
password	sensitive personal	16	[('sensitive', 'JJ'), ('personal', 'JJ')]	True
cathode ray tube	visual	96	[('visual', 'JJ')]	True
aspect	local	332	[('local', 'JJ')]	True
insurance	annual	52	[('annual', 'JJ')]	True
uv stabilizer	conventional	429	[('conventional', 'JJ')]	True
engineer	professional	165	[('professional', 'JJ')]	True
hydrogenation	catalytic	5	[('catalytic', 'JJ')]	True
chronic obstructive pulmonary disease	common	802	[('common', 'JJ')]	True
medicine	popular	467	[('popular', 'JJ')]	True
radio wave	electromagnetic	13	[('electromagnetic', 'JJ')]	True
credit card detail	personal	635	[('personal', 'JJ')]	True
disco	social	388	[('social', 'JJ')]	True
chili pepper	hot	59	[('hot', 'JJ')]	True
crayfish	natural	709	[('natural', 'JJ')]	True
amazon com	retail	43	[('retail', 'JJ')]	True
dyslipidemia	classic	86	[('classic', 'JJ')]	True
school	contextual	50	[('contextual', 'JJ')]	True
guangzhou	chinese	29	[('chinese', 'JJ')]	True
human trafficking	criminal	14	[('criminal', 'JJ')]	True
thermal	suitable	205	[('suitable', 'JJ')]	True
home address	sensitive	195	[('sensitive', 'JJ')]	True
counter strike	competitive	44	[('competitive', 'JJ')]	True
polyamides	synthetic	126	[('synthetic', 'JJ')]	True
climatic condition	external	443	[('external', 'JJ')]	True
namibia	southern	60	[('southern', 'JJ')]	True
marital	sociodemographic	28	[('sociodemographic', 'JJ')]	True
distribution	basic	667	[('basic', 'JJ')]	True
company picnic	large	852	[('large', 'JJ')]	True
anti static agent	conventional	429	[('conventional', 'JJ')]	True
smoking	potential	99	[('potential', 'JJ')]	True
laundry room	nonessential	10	[('nonessential', 'JJ')]	True
reptile	ectothermic	5	[('ectothermic', 'JJ')]	True
word processor	commercial	172	[('commercial', 'JJ')]	True
motorola	international	277	[('international', 'JJ')]	True
funding	institutional	48	[('institutional', 'JJ')]	True
kevlar	modern	309	[('modern', 'JJ')]	True
area	topographical	11	[('topographical', 'JJ')]	True
ibuprofen	over-the-counter	25	[('over-the-counter', 'JJ')]	True
hard work	traditional	682	[('traditional', 'JJ')]	True
bench	flat	39	[('flat', 'JJ')]	True
basf	large	852	[('large', 'JJ')]	True
diabetes mellitus	medical	456	[('medical', 'JJ')]	True
park	urban	75	[('urban', 'JJ')]	True
contact information	basic	667	[('basic', 'JJ')]	True
heating	mechanical	187	[('mechanical', 'JJ')]	True
medical information	sensitive	195	[('sensitive', 'JJ')]	True
ip address	automatic	13	[('automatic', 'JJ')]	True
toothpaste	daily	99	[('daily', 'JJ')]	True
age	clinical	183	[('clinical', 'JJ')]	True
hypotension	systemic	124	[('systemic', 'JJ')]	True
nile	great	178	[('great', 'JJ')]	True
greenpeace	large	852	[('large', 'JJ')]	True
height	clinical	183	[('clinical', 'JJ')]	True
stone	small	653	[('small', 'JJ')]	True
growth rate	physiological	81	[('physiological', 'JJ')]	True
blue	musical	86	[('musical', 'JJ')]	True
klm	european	108	[('european', 'JJ')]	True
kojic acid	natural	709	[('natural', 'JJ')]	True
customer relationship	identifiable	13	[('identifiable', 'JJ')]	True
ethanol	environmental	592	[('environmental', 'JJ')]	True
kitchen	modern	309	[('modern', 'JJ')]	True
water	large	852	[('large', 'JJ')]	True
nutrient concentration	environmental	592	[('environmental', 'JJ')]	True
tomato	natural	709	[('natural', 'JJ')]	True
emulsion	customary	11	[('customary', 'JJ')]	True
eiffel tower	impressive	5	[('impressive', 'JJ')]	True
glue	inflammable	9	[('inflammable', 'JJ')]	True
virtualization	advanced	233	[('advanced', 'JJ')]	True
antique	personal	635	[('personal', 'JJ')]	True
ic	electronic	281	[('electronic', 'JJ')]	True
tile	traditional	682	[('traditional', 'JJ')]	True
uddi	open	86	[('open', 'JJ')]	True
pesticide	external	443	[('external', 'JJ')]	True
reception	common	802	[('common', 'JJ')]	True
price	external	443	[('external', 'JJ')]	True
morgan stanley	financial	212	[('financial', 'JJ')]	True
brick	noncombustible	7	[('noncombustible', 'JJ')]	True
petrol	flammable	80	[('flammable', 'JJ')]	True
cost of living	economic	142	[('economic', 'JJ')]	True
low maintenance	high	125	[('high', 'JJ')]	True
meal	daily	99	[('daily', 'JJ')]	True
migration	biological	197	[('biological', 'JJ')]	True
chinese new year	chinese	29	[('chinese', 'JJ')]	True
patient s name	personal	635	[('personal', 'JJ')]	True
leather	high	125	[('high', 'JJ')]	True
cisco	potential	99	[('potential', 'JJ')]	True
swan lake	popular	467	[('popular', 'JJ')]	True
gender	genetic	42	[('genetic', 'JJ')]	True
invertebrate	taxonomic	7	[('taxonomic', 'JJ')]	True
nitrification	biological	197	[('biological', 'JJ')]	True
memory card	removable	34	[('removable', 'JJ')]	True
amino acid	natural	709	[('natural', 'JJ')]	True
path	graphic	44	[('graphic', 'JJ')]	True
bear	natural	709	[('natural', 'JJ')]	True
longevity	functional	143	[('functional', 'JJ')]	True
bromelain	proteolytic	13	[('proteolytic', 'JJ')]	True
flipkart	indian	58	[('indian', 'JJ')]	True
aleve	over-the-counter	25	[('over-the-counter', 'JJ')]	True
heart disease	systemic	124	[('systemic', 'JJ')]	True
drug use	high	125	[('high', 'JJ')]	True
microsoft word	rich	58	[('rich', 'JJ')]	True
fibrin	natural	709	[('natural', 'JJ')]	True
contact dermatitis	occupational	20	[('occupational', 'JJ')]	True
ampicillin	conventional	429	[('conventional', 'JJ')]	True
safety	critical	172	[('critical', 'JJ')]	True
slide	audio visual	16	[('audio', 'JJ'), ('visual', 'JJ')]	True
ipod	revolutionary	6	[('revolutionary', 'JJ')]	True
benzoyl peroxide	topical	63	[('topical', 'JJ')]	True
price	critical	172	[('critical', 'JJ')]	True
pool table	recreational	163	[('recreational', 'JJ')]	True
tide	environmental	592	[('environmental', 'JJ')]	True
copper	solid	124	[('solid', 'JJ')]	True
pillow	personal	635	[('personal', 'JJ')]	True
rhinoplasty	surgical	58	[('surgical', 'JJ')]	True
digital library	advanced	233	[('advanced', 'JJ')]	True
contact information	personal	635	[('personal', 'JJ')]	True
colorant	conventional	429	[('conventional', 'JJ')]	True
stage	traditional	682	[('traditional', 'JJ')]	True
raspberry	delicious	17	[('delicious', 'JJ')]	True
seizure	serious	276	[('serious', 'JJ')]	True
impact	mechanical	187	[('mechanical', 'JJ')]	True
contractor	third	74	[('third', 'JJ')]	True
telephone	modern electronic	17	[('modern', 'JJ'), ('electronic', 'JJ')]	True
drowsiness	common	802	[('common', 'JJ')]	True
food processing	industrial	201	[('industrial', 'JJ')]	True
bingo	daily	99	[('daily', 'JJ')]	True
gender	biological	197	[('biological', 'JJ')]	True
salinity	physicochemical	72	[('physicochemical', 'JJ')]	True
sickness	unexpected	30	[('unexpected', 'JJ')]	True
thermostat	automatic	13	[('automatic', 'JJ')]	True
hoarseness	vocal	8	[('vocal', 'JJ')]	True
oxygen	functional	143	[('functional', 'JJ')]	True
hay fever	common	802	[('common', 'JJ')]	True
cookie	personal	635	[('personal', 'JJ')]	True
camera	audiovisual	13	[('audiovisual', 'JJ')]	True
pan	large	852	[('large', 'JJ')]	True
x ray	conventional	429	[('conventional', 'JJ')]	True
safety glass	suitable	205	[('suitable', 'JJ')]	True
weight loss	systemic	124	[('systemic', 'JJ')]	True
nuclear magnetic resonance	analytical	77	[('analytical', 'JJ')]	True
saline	aqueous	12	[('aqueous', 'JJ')]	True
azithromycin	topical	63	[('topical', 'JJ')]	True
music	personal	635	[('personal', 'JJ')]	True
physical activity	healthy	115	[('healthy', 'JJ')]	True
prednisone	synthetic	126	[('synthetic', 'JJ')]	True
apathy	neuropsychiatric	23	[('neuropsychiatric', 'JJ')]	True
text	extraneous	19	[('extraneous', 'JJ')]	True
email address	basic	667	[('basic', 'JJ')]	True
zumba	free	99	[('free', 'JJ')]	True
dog walking	recreational	163	[('recreational', 'JJ')]	True
amino acid	crucial	17	[('crucial', 'JJ')]	True
google	successful	38	[('successful', 'JJ')]	True
abscess	serious	276	[('serious', 'JJ')]	True
gel	topical	63	[('topical', 'JJ')]	True
windows	traditional	682	[('traditional', 'JJ')]	True
memory	peripheral	67	[('peripheral', 'JJ')]	True
laser treatment	physical	686	[('physical', 'JJ')]	True
slide	educational	56	[('educational', 'JJ')]	True
data center	critical	172	[('critical', 'JJ')]	True
philadelphia	american	86	[('american', 'JJ')]	True
plaster	porous	73	[('porous', 'JJ')]	True
plastic	industrial	201	[('industrial', 'JJ')]	True
parity	serial	15	[('serial', 'JJ')]	True
pollen	small	653	[('small', 'JJ')]	True
toilet paper	basic	667	[('basic', 'JJ')]	True
aspirin	antithrombotic	5	[('antithrombotic', 'JJ')]	True
mathematica	commercial	172	[('commercial', 'JJ')]	True
management	environmental	592	[('environmental', 'JJ')]	True
yoga	therapeutic	70	[('therapeutic', 'JJ')]	True
judaism	western	106	[('western', 'JJ')]	True
cell	complex	256	[('complex', 'JJ')]	True
bean	fresh	148	[('fresh', 'JJ')]	True
drug trafficking	criminal	14	[('criminal', 'JJ')]	True
shanghai	urban	75	[('urban', 'JJ')]	True
economy	global	202	[('global', 'JJ')]	True
orangutan	large	852	[('large', 'JJ')]	True
hepatitis b	viral	54	[('viral', 'JJ')]	True
smart card	portable	91	[('portable', 'JJ')]	True
nutrasweet	artificial	61	[('artificial', 'JJ')]	True
slovakia	eastern	40	[('eastern', 'JJ')]	True
law firm	corporate	79	[('corporate', 'JJ')]	True
principal component	statistical	99	[('statistical', 'JJ')]	True
dollar	traditional	682	[('traditional', 'JJ')]	True
munich	big	266	[('big', 'JJ')]	True
craft	social	388	[('social', 'JJ')]	True
brussels sprout	green	60	[('green', 'JJ')]	True
pda	portable	91	[('portable', 'JJ')]	True
pepper	green	60	[('green', 'JJ')]	True
printer	valuable	127	[('valuable', 'JJ')]	True
piano	musical	86	[('musical', 'JJ')]	True
fox	large	852	[('large', 'JJ')]	True
youtube	famous	126	[('famous', 'JJ')]	True
christmas	busy	6	[('busy', 'JJ')]	True
driver's license	valid	12	[('valid', 'JJ')]	True
presentation skill	soft	247	[('soft', 'JJ')]	True
monkey	social	388	[('social', 'JJ')]	True
playing music	creative	64	[('creative', 'JJ')]	True
hinduism	influential	23	[('influential', 'JJ')]	True
cost	numeric	5	[('numeric', 'JJ')]	True
gap	big	266	[('big', 'JJ')]	True
communication	personal	635	[('personal', 'JJ')]	True
writer	creative	64	[('creative', 'JJ')]	True
snow	white	65	[('white', 'JJ')]	True
virtual reality	innovative	31	[('innovative', 'JJ')]	True
accident	unusual	32	[('unusual', 'JJ')]	True
o rings	expendable	20	[('expendable', 'JJ')]	True
drought	unfavorable	11	[('unfavorable', 'JJ')]	True
human right	western	106	[('western', 'JJ')]	True
location	contextual	50	[('contextual', 'JJ')]	True
cheese	heavy	207	[('heavy', 'JJ')]	True
xylene	common	802	[('common', 'JJ')]	True
indebtedness	undesirable	45	[('undesirable', 'JJ')]	True
nasturtium	edible	49	[('edible', 'JJ')]	True
pad thai	traditional	682	[('traditional', 'JJ')]	True
sandstone	natural	709	[('natural', 'JJ')]	True
electric guitar	electric	41	[('electric', 'JJ')]	True
snail	aquatic	90	[('aquatic', 'JJ')]	True
wlan	heterogeneous	15	[('heterogeneous', 'JJ')]	True
gap	traditional	682	[('traditional', 'JJ')]	True
swimming	normal	79	[('normal', 'JJ')]	True
trade payable	financial	212	[('financial', 'JJ')]	True
community college	educational	56	[('educational', 'JJ')]	True
aluminum	synthetic	126	[('synthetic', 'JJ')]	True
bing	conventional	429	[('conventional', 'JJ')]	True
illiteracy	social	388	[('social', 'JJ')]	True
weather condition	external	443	[('external', 'JJ')]	True
atkins diet	popular	467	[('popular', 'JJ')]	True
education	traditional	682	[('traditional', 'JJ')]	True
antioxidant	great	178	[('great', 'JJ')]	True
sale	functional	143	[('functional', 'JJ')]	True
horse riding	recreational	163	[('recreational', 'JJ')]	True
entrepreneurship	professional	165	[('professional', 'JJ')]	True
ssa	federal	114	[('federal', 'JJ')]	True
experience	independent	50	[('independent', 'JJ')]	True
washing machine	modern	309	[('modern', 'JJ')]	True
health	basic	667	[('basic', 'JJ')]	True
heron	domestic	82	[('domestic', 'JJ')]	True
pump	inductive	11	[('inductive', 'JJ')]	True
time management	professional	165	[('professional', 'JJ')]	True
renovation	large	852	[('large', 'JJ')]	True
body mass index	environmental	592	[('environmental', 'JJ')]	True
fridge	electrical	163	[('electrical', 'JJ')]	True
conflict resolution	valuable	127	[('valuable', 'JJ')]	True
facial tissue	disposable	41	[('disposable', 'JJ')]	True
bicycle riding	physical	686	[('physical', 'JJ')]	True
joint commission	national	122	[('national', 'JJ')]	True
dry grass	combustible	79	[('combustible', 'JJ')]	True
camcorder	compatible	24	[('compatible', 'JJ')]	True
body mass index	modifiable	28	[('modifiable', 'JJ')]	True
oregano	italian	28	[('italian', 'JJ')]	True
shift work	occupational	20	[('occupational', 'JJ')]	True
oxygen	nonpolar	16	[('nonpolar', 'JJ')]	True
citibank	big	266	[('big', 'JJ')]	True
string	loose	68	[('loose', 'JJ')]	True
wiring	electrical	163	[('electrical', 'JJ')]	True
herpes zoster	viral	54	[('viral', 'JJ')]	True
glassware	breakable	5	[('breakable', 'JJ')]	True
satellite	complex	256	[('complex', 'JJ')]	True
atkins	popular	467	[('popular', 'JJ')]	True
medical record	sensitive	195	[('sensitive', 'JJ')]	True
lesson plan	educational	56	[('educational', 'JJ')]	True
pepsico	successful	38	[('successful', 'JJ')]	True
eye	anatomical	16	[('anatomical', 'JJ')]	True
sporting event	large	852	[('large', 'JJ')]	True
carbon monoxide	hazardous	102	[('hazardous', 'JJ')]	True
short story	literary	45	[('literary', 'JJ')]	True
food	english	18	[('english', 'JJ')]	True
printer	technical	122	[('technical', 'JJ')]	True
calcium carbonate	traditional	682	[('traditional', 'JJ')]	True
epilepsy	clinical	183	[('clinical', 'JJ')]	True
florence	famous	126	[('famous', 'JJ')]	True
rhubarb	edible	49	[('edible', 'JJ')]	True
diagram	illustrative	7	[('illustrative', 'JJ')]	True
younger age	demographic	126	[('demographic', 'JJ')]	True
street	hard	160	[('hard', 'JJ')]	True
switchgras	herbaceous	14	[('herbaceous', 'JJ')]	True
hypertension	conventional	429	[('conventional', 'JJ')]	True
hemoglobin	continuous	45	[('continuous', 'JJ')]	True
pawpaw	tropical	70	[('tropical', 'JJ')]	True
tax	fiscal	10	[('fiscal', 'JJ')]	True
abs	active	130	[('active', 'JJ')]	True
justice	political	40	[('political', 'JJ')]	True
door	physical	686	[('physical', 'JJ')]	True
denim	stable	15	[('stable', 'JJ')]	True
toad	natural	709	[('natural', 'JJ')]	True
longitude	spatial	23	[('spatial', 'JJ')]	True
holly	native	76	[('native', 'JJ')]	True
money	national	122	[('national', 'JJ')]	True
sms	practical	121	[('practical', 'JJ')]	True
granite	hard	160	[('hard', 'JJ')]	True
hat	native	76	[('native', 'JJ')]	True
vogue	popular	467	[('popular', 'JJ')]	True
galangal	aromatic	59	[('aromatic', 'JJ')]	True
goldman sachs	multinational	53	[('multinational', 'JJ')]	True
cell phone	modern	309	[('modern', 'JJ')]	True
furan	environmental	592	[('environmental', 'JJ')]	True
manganese	transitional	15	[('transitional', 'JJ')]	True
memory stick	popular	467	[('popular', 'JJ')]	True
gymnasium	modern	309	[('modern', 'JJ')]	True
carotenoid	common	802	[('common', 'JJ')]	True
canada	industrial	201	[('industrial', 'JJ')]	True
cisco	high	125	[('high', 'JJ')]	True
sharp	popular	467	[('popular', 'JJ')]	True
france	international	277	[('international', 'JJ')]	True
bond	basic	667	[('basic', 'JJ')]	True
banking	professional	165	[('professional', 'JJ')]	True
lawn mower	heavy	207	[('heavy', 'JJ')]	True
atom	small	653	[('small', 'JJ')]	True
crude oil	heavy	207	[('heavy', 'JJ')]	True
asian development bank	regional	56	[('regional', 'JJ')]	True
grape seed oil	natural	709	[('natural', 'JJ')]	True
seminar	promotional	68	[('promotional', 'JJ')]	True
role based access control	traditional	682	[('traditional', 'JJ')]	True
heart valve	implantable medical	10	[('implantable', 'JJ'), ('medical', 'JJ')]	True
rice	basic	667	[('basic', 'JJ')]	True
perseverance	valuable	127	[('valuable', 'JJ')]	True
uv ray	environmental	592	[('environmental', 'JJ')]	True
onion	heavy	207	[('heavy', 'JJ')]	True
antique	tangible	53	[('tangible', 'JJ')]	True
showering	daily	99	[('daily', 'JJ')]	True
air pressure	meteorological	28	[('meteorological', 'JJ')]	True
biopsy	surgical	58	[('surgical', 'JJ')]	True
augustine	great	178	[('great', 'JJ')]	True
mining	basic	667	[('basic', 'JJ')]	True
sucrose	soluble	36	[('soluble', 'JJ')]	True
computer	influential	23	[('influential', 'JJ')]	True
earth	large	852	[('large', 'JJ')]	True
plant height	morphological	25	[('morphological', 'JJ')]	True
digital camera	modern	309	[('modern', 'JJ')]	True
right to life	fundamental	87	[('fundamental', 'JJ')]	True
coupling agent	conventional	429	[('conventional', 'JJ')]	True
garden	common	802	[('common', 'JJ')]	True
erythema	deterministic	5	[('deterministic', 'JJ')]	True
playground	great	178	[('great', 'JJ')]	True
support group	free	99	[('free', 'JJ')]	True
minocycline	oral	110	[('oral', 'JJ')]	True
wav	popular	467	[('popular', 'JJ')]	True
maple	native	76	[('native', 'JJ')]	True
paramedic	medical	456	[('medical', 'JJ')]	True
plaster	natural	709	[('natural', 'JJ')]	True
cereal	non-perishable	8	[('non-perishable', 'JJ')]	True
cap	personal	635	[('personal', 'JJ')]	True
tape	electronic	281	[('electronic', 'JJ')]	True
bank	third	74	[('third', 'JJ')]	True
engine	large	852	[('large', 'JJ')]	True
changing room	ancillary	99	[('ancillary', 'JJ')]	True
deck	small	653	[('small', 'JJ')]	True
steam engine	technological	54	[('technological', 'JJ')]	True
smartphone	mobile electronic	19	[('mobile', 'JJ'), ('electronic', 'JJ')]	True
google chrome	free	99	[('free', 'JJ')]	True
cd player	electrical	163	[('electrical', 'JJ')]	True
human	intangible	43	[('intangible', 'JJ')]	True
yoga	natural	709	[('natural', 'JJ')]	True
blue	contemporary	73	[('contemporary', 'JJ')]	True
chart	graphical	34	[('graphical', 'JJ')]	True
water heater	common	802	[('common', 'JJ')]	True
infection	procedural	5	[('procedural', 'JJ')]	True
norton	good	61	[('good', 'JJ')]	True
burning	urinary	14	[('urinary', 'JJ')]	True
valley	low	51	[('low', 'JJ')]	True
pca	statistical	99	[('statistical', 'JJ')]	True
ginger	aromatic	59	[('aromatic', 'JJ')]	True
advertisement	commercial	172	[('commercial', 'JJ')]	True
book	normal	79	[('normal', 'JJ')]	True
microsoft	industrial	201	[('industrial', 'JJ')]	True
camera	modern	309	[('modern', 'JJ')]	True
concentration	physical	686	[('physical', 'JJ')]	True
new south wales	australian	18	[('australian', 'JJ')]	True
chinchilla	small	653	[('small', 'JJ')]	True
correlation	analytical	77	[('analytical', 'JJ')]	True
median	single	74	[('single', 'JJ')]	True
infosys	big	266	[('big', 'JJ')]	True
world cup	notable	42	[('notable', 'JJ')]	True
smoking	traditional	682	[('traditional', 'JJ')]	True
membrane	cellular	81	[('cellular', 'JJ')]	True
wheat bran	dietary	96	[('dietary', 'JJ')]	True
entertainment	nonessential	10	[('nonessential', 'JJ')]	True
antibiotic	environmental	592	[('environmental', 'JJ')]	True
press	basic	667	[('basic', 'JJ')]	True
dna	genetic	42	[('genetic', 'JJ')]	True
pharmacy	basic	667	[('basic', 'JJ')]	True
abundance	trophic	10	[('trophic', 'JJ')]	True
account	transactional	6	[('transactional', 'JJ')]	True
anova	statistical	99	[('statistical', 'JJ')]	True
gibbon	aggressive	32	[('aggressive', 'JJ')]	True
face recognition	real	43	[('real', 'JJ')]	True
tetracycline	antibacterial	11	[('antibacterial', 'JJ')]	True
football	traditional	682	[('traditional', 'JJ')]	True
battery	suitable	205	[('suitable', 'JJ')]	True
handcuff	physical	686	[('physical', 'JJ')]	True
gender	structural	156	[('structural', 'JJ')]	True
refrigerator	big	266	[('big', 'JJ')]	True
education	academic	69	[('academic', 'JJ')]	True
piano	heavy	207	[('heavy', 'JJ')]	True
medium	cultural	99	[('cultural', 'JJ')]	True
air velocity	environmental	592	[('environmental', 'JJ')]	True
china	global	202	[('global', 'JJ')]	True
nose	physical	686	[('physical', 'JJ')]	True
cellphone	portable electronic	43	[('portable', 'JJ'), ('electronic', 'JJ')]	True
ladybug	natural	709	[('natural', 'JJ')]	True
hypertension	serious medical	10	[('serious', 'JJ'), ('medical', 'JJ')]	True
revenue	free	99	[('free', 'JJ')]	True
counter	heavy	207	[('heavy', 'JJ')]	True
copper	nonferrous	11	[('nonferrous', 'JJ')]	True
toluene	anhydrous	10	[('anhydrous', 'JJ')]	True
initiator concentration	optimal	6	[('optimal', 'JJ')]	True
diesel	flammable	80	[('flammable', 'JJ')]	True
mall	essential	297	[('essential', 'JJ')]	True
ethnicity	cultural	99	[('cultural', 'JJ')]	True
toaster	common	802	[('common', 'JJ')]	True
ivory	organic	355	[('organic', 'JJ')]	True
hydrochloric acid	basic	667	[('basic', 'JJ')]	True
literature	academic	69	[('academic', 'JJ')]	True
attitude	non academic	8	[('non', 'JJ'), ('academic', 'JJ')]	True
gene ontology	contemporary	73	[('contemporary', 'JJ')]	True
birth	personal	635	[('personal', 'JJ')]	True
victoria	southern	60	[('southern', 'JJ')]	True
photoshop	creative	64	[('creative', 'JJ')]	True
cardamom	aromatic	59	[('aromatic', 'JJ')]	True
measle	oncolytic	7	[('oncolytic', 'JJ')]	True
panty liner	disposable	41	[('disposable', 'JJ')]	True
laser therapy	surgical	58	[('surgical', 'JJ')]	True
rock outcrop	natural	709	[('natural', 'JJ')]	True
test result	epidemiological	5	[('epidemiological', 'JJ')]	True
ultimate tensile strength	mechanical	187	[('mechanical', 'JJ')]	True
zeolite	solid	124	[('solid', 'JJ')]	True
story	literary	45	[('literary', 'JJ')]	True
tree branch	natural	709	[('natural', 'JJ')]	True
trade show	large	852	[('large', 'JJ')]	True
hp	big	266	[('big', 'JJ')]	True
abalone	fresh	148	[('fresh', 'JJ')]	True
home depot	big	266	[('big', 'JJ')]	True
cowpea	leguminous	10	[('leguminous', 'JJ')]	True
soldering	industrial	201	[('industrial', 'JJ')]	True
sierra leone	african	36	[('african', 'JJ')]	True
battery	consumable	67	[('consumable', 'JJ')]	True
climate	environmental	592	[('environmental', 'JJ')]	True
onion	white	65	[('white', 'JJ')]	True
ginger	tropical	70	[('tropical', 'JJ')]	True
type 2 diabetes	medical	456	[('medical', 'JJ')]	True
gonorrhea	untreated	8	[('untreated', 'JJ')]	True
alzheimer's disease	medical	456	[('medical', 'JJ')]	True
gucci	prestigious	27	[('prestigious', 'JJ')]	True
copier	basic	667	[('basic', 'JJ')]	True
income	economic	142	[('economic', 'JJ')]	True
wind turbine	green	60	[('green', 'JJ')]	True
suffering	non economic	5	[('non', 'JJ'), ('economic', 'JJ')]	True
cultural influence	social	388	[('social', 'JJ')]	True
waist	basic	667	[('basic', 'JJ')]	True
tamoxifen	chemotherapeutic	33	[('chemotherapeutic', 'JJ')]	True
hospital	charitable	14	[('charitable', 'JJ')]	True
population growth	macroeconomic	33	[('macroeconomic', 'JJ')]	True
copper	global	202	[('global', 'JJ')]	True
ice	natural	709	[('natural', 'JJ')]	True
marital	personal	635	[('personal', 'JJ')]	True
climate	local environmental	5	[('local', 'JJ'), ('environmental', 'JJ')]	True
clothes	personal	635	[('personal', 'JJ')]	True
image	basic	667	[('basic', 'JJ')]	True
theater	large	852	[('large', 'JJ')]	True
textile	combustible	79	[('combustible', 'JJ')]	True
swimming	popular	467	[('popular', 'JJ')]	True
jean	basic	667	[('basic', 'JJ')]	True
chinook salmon	anadromous	8	[('anadromous', 'JJ')]	True
hip	difficult	49	[('difficult', 'JJ')]	True
philippines	modern	309	[('modern', 'JJ')]	True
parking	common	802	[('common', 'JJ')]	True
range	large	852	[('large', 'JJ')]	True
france	popular	467	[('popular', 'JJ')]	True
door	domestic	82	[('domestic', 'JJ')]	True
credit card	financial	212	[('financial', 'JJ')]	True
immigration	social	388	[('social', 'JJ')]	True
construction	economic	142	[('economic', 'JJ')]	True
bridge	artificial	61	[('artificial', 'JJ')]	True
dose	controllable	5	[('controllable', 'JJ')]	True
